Combinacao, N, Tempo
1 1, 1, 1.673067
1 2, 1, 4.689968
1 4, 1, 5.020971
1 8, 1, 5.722245
2 1, 1, 4.854920
4 1, 1, 5.131424
8 1, 1, 5.316495
1 1, 2, 1.122185
1 2, 2, 2.613401
1 4, 2, 2.769984
1 8, 2, 2.786374
2 1, 2, 2.552551
4 1, 2, 1.425773
8 1, 2, 2.331247
1 1, 4, 0.848189
1 2, 4, 1.757797
1 4, 4, 1.952195
1 8, 4, 1.636914
2 1, 4, 0.987283
4 1, 4, 1.315206
8 1, 4, 1.250370
1 1, 16, 0.536570
1 2, 16, 0.576021
1 4, 16, 0.969591
1 8, 16, 1.150854
2 1, 16, 0.591724
4 1, 16, 0.705333
8 1, 16, 0.877172
1 1, 32, 0.465467
1 2, 32, 0.530569
1 4, 32, 0.951168
1 8, 32, 1.114535
2 1, 32, 0.483764
4 1, 32, 0.599271
8 1, 32, 0.749041

